sport,liga,sezon,data,druzyna,gp,w,d,l,otw,otl,gf,ga
siatkówka,Bundesliga,2025-26,2026-03-22,TSV Haching Muenchen,28,9,0,19,0,0,41,64
siatkówka,Bundesliga,2025-26,2026-03-22,ASV Dachau,28,7,0,21,0,0,41,65
siatkówka,Bundesliga,2025-26,2026-03-22,SV Warnemuende,28,6,0,22,0,0,33,69
siatkówka,Bundesliga,2025-26,2026-03-22,Volley Goats Mitteldeutschland,28,6,0,22,0,0,27,75
siatkówka,Bundesliga,2025-26,2026-03-22,VCO Berlin,28,2,0,26,0,0,13,81
piłka ręczna,Superliga PL,2025-26,2026-04-16,Orlen Wisła Płock,24,23,1,0,0,0,866,577
piłka ręczna,Superliga PL,2025-26,2026-04-16,Industria Kielce,24,22,1,1,0,0,938,620
piłka ręczna,Superliga PL,2025-26,2026-04-16,Ostrovia Ostrów Wielkopolski,24,16,1,7,0,0,690,645
piłka ręczna,Superliga PL,2025-26,2026-04-16,PGE Wybrzeże Gdańsk,24,15,2,7,0,0,787,734
piłka ręczna,Superliga PL,2025-26,2026-04-16,Chrobry Głogów,24,14,0,10,0,0,686,697
piłka ręczna,Superliga PL,2025-26,2026-04-16,MMTS Kwidzyn,24,11,3,10,0,0,712,737
piłka ręczna,Superliga PL,2025-26,2026-04-16,MKS Kalisz,24,11,1,12,0,0,678,707
piłka ręczna,Superliga PL,2025-26,2026-04-16,Stal Mielec,24,9,3,12,0,0,633,712
piłka ręczna,Superliga PL,2025-26,2026-04-16,KPR Legionowo,24,9,2,13,0,0,662,680
piłka ręczna,Superliga PL,2025-26,2026-04-16,Gwardia Opole,24,9,0,15,0,0,672,726
piłka ręczna,Superliga PL,2025-26,2026-04-16,Piotrkowianin Piotrków Trybunalski,24,3,3,18,0,0,636,782
piłka ręczna,Superliga PL,2025-26,2026-04-16,KS Puławy,24,2,2,20,0,0,686,884
piłka ręczna,Superliga PL,2025-26,2026-04-16,Zagłębie Lubin,24,1,3,20,0,0,662,807
piłka ręczna,HBL,2025-26,2026-06-07,SC Magdeburg,34,31,2,1,0,0,1115,934
piłka ręczna,HBL,2025-26,2026-06-07,Füchse Berlin,34,27,1,6,0,0,1221,1030
piłka ręczna,HBL,2025-26,2026-06-07,SG Flensburg-Handewitt,34,24,3,7,0,0,1200,1084
piłka ręczna,HBL,2025-26,2026-06-07,VfL Gummersbach,34,23,4,7,0,0,1067,942
piłka ręczna,HBL,2025-26,2026-06-07,TBV Lemgo Lippe,34,19,4,11,0,0,1021,977
piłka ręczna,HBL,2025-26,2026-06-07,THW Kiel,34,17,8,9,0,0,1043,1010
piłka ręczna,HBL,2025-26,2026-06-07,MT Melsungen,34,17,5,12,0,0,1002,1000
piłka ręczna,HBL,2025-26,2026-06-07,Rhein-Neckar Löwen,34,17,3,14,0,0,1024,981
piłka ręczna,HBL,2025-26,2026-06-07,Frisch Auf Göppingen,34,13,7,14,0,0,958,995
piłka ręczna,HBL,2025-26,2026-06-07,HSV Hamburg,34,15,1,18,0,0,1065,1086
piłka ręczna,HBL,2025-26,2026-06-07,TSV Hannover-Burgdorf,34,11,7,16,0,0,1015,1027
piłka ręczna,HBL,2025-26,2026-06-07,TVB Stuttgart,34,10,8,16,0,0,998,1035
piłka ręczna,HBL,2025-26,2026-06-07,Bergischer HC,34,9,4,21,0,0,980,1071
piłka ręczna,HBL,2025-26,2026-06-07,ThSV Eisenach,34,8,5,21,0,0,985,1058
piłka ręczna,HBL,2025-26,2026-06-07,HC Erlangen,34,7,5,22,0,0,936,1013
piłka ręczna,HBL,2025-26,2026-06-07,HSG Wetzlar,34,7,3,24,0,0,969,1070
piłka ręczna,HBL,2025-26,2026-06-07,GWD Minden,34,6,5,23,0,0,942,1090
piłka ręczna,HBL,2025-26,2026-06-07,SC DHfK Leipzig,34,4,7,23,0,0,942,1080
piłka ręczna,ASOBAL,2025-26,2026-05-31,Barcelona,30,30,0,0,0,0,1204,799
piłka ręczna,ASOBAL,2025-26,2026-05-31,BM Logroño La Rioja,30,20,3,7,0,0,950,892
piłka ręczna,ASOBAL,2025-26,2026-05-31,BM Granollers,30,21,1,8,0,0,952,897
piłka ręczna,ASOBAL,2025-26,2026-05-31,Bidasoa Irún,30,20,2,8,0,0,960,902
piłka ręczna,ASOBAL,2025-26,2026-05-31,BM Torrelavega,30,19,3,8,0,0,949,889
piłka ręczna,ASOBAL,2025-26,2026-05-31,Atlético Valladolid,30,15,3,12,0,0,871,882
piłka ręczna,ASOBAL,2025-26,2026-05-31,Ademar León,30,12,7,11,0,0,918,928
piłka ręczna,ASOBAL,2025-26,2026-05-31,BM Ciudad Real,30,12,3,15,0,0,874,929
piłka ręczna,ASOBAL,2025-26,2026-05-31,BM Alicante,30,12,2,16,0,0,912,944
piłka ręczna,ASOBAL,2025-26,2026-05-31,Villa de Aranda,30,11,1,18,0,0,866,909
piłka ręczna,ASOBAL,2025-26,2026-05-31,BM Cuenca,30,10,3,17,0,0,851,921
piłka ręczna,ASOBAL,2025-26,2026-05-31,Frigoríficos del Morrazo,30,10,2,18,0,0,838,895
piłka ręczna,ASOBAL,2025-26,2026-05-31,Ángel Ximénez Puente Genil,30,8,3,19,0,0,842,916
piłka ręczna,ASOBAL,2025-26,2026-05-31,BM Nava,30,9,1,20,0,0,881,948
piłka ręczna,ASOBAL,2025-26,2026-05-31,Bada Huesca,30,7,3,20,0,0,880,981
piłka ręczna,ASOBAL,2025-26,2026-05-31,BM Guadalajara,30,4,3,23,0,0,877,993
piłka ręczna,EHF CL,2025-26,2026-03-12,Füchse Berlin,14,11,0,3,0,0,470,433
piłka ręczna,EHF CL,2025-26,2026-03-12,Aalborg Håndbold,14,10,1,3,0,0,457,407
piłka ręczna,EHF CL,2025-26,2026-03-12,Industria Kielce,14,8,1,5,0,0,456,451
piłka ręczna,EHF CL,2025-26,2026-03-12,HBC Nantes,14,8,0,6,0,0,456,416
piłka ręczna,EHF CL,2025-26,2026-03-12,One Veszprém,14,7,0,7,0,0,471,449
piłka ręczna,EHF CL,2025-26,2026-03-12,Sporting CP,14,7,0,7,0,0,465,476
piłka ręczna,EHF CL,2025-26,2026-03-12,Dinamo București,14,2,0,12,0,0,395,430
piłka ręczna,EHF CL,2025-26,2026-03-12,Kolstad Håndball,14,2,0,12,0,0,386,494
piłka ręczna,EHF CL,2025-26,2026-03-12,Barcelona,14,13,0,1,0,0,492,382
piłka ręczna,EHF CL,2025-26,2026-03-12,SC Magdeburg,14,11,1,2,0,0,457,408
piłka ręczna,EHF CL,2025-26,2026-03-12,Orlen Wisła Płock,14,8,2,4,0,0,424,410
piłka ręczna,EHF CL,2025-26,2026-03-12,Paris Saint-Germain,14,6,1,7,0,0,446,436
piłka ręczna,EHF CL,2025-26,2026-03-12,GOG Håndbold,14,6,1,7,0,0,443,468
piłka ręczna,EHF CL,2025-26,2026-03-12,Pick Szeged,14,5,1,8,0,0,428,424
piłka ręczna,EHF CL,2025-26,2026-03-12,Eurofarm Pelister,14,2,2,10,0,0,369,447
piłka ręczna,EHF CL,2025-26,2026-03-12,RK Zagreb,14,1,0,13,0,0,375,459
piłka ręczna,LNH,2025-26,2026-06-06,Paris Saint-Germain,30,29,1,0,0,0,1041,841
piłka ręczna,LNH,2025-26,2026-06-06,HBC Nantes,30,26,3,1,0,0,1090,907
piłka ręczna,LNH,2025-26,2026-06-06,Montpellier Handball,30,21,1,8,0,0,1017,909
piłka ręczna,LNH,2025-26,2026-06-06,Limoges Handball,30,19,2,9,0,0,997,956
piłka ręczna,LNH,2025-26,2026-06-06,Chambéry Savoie Mont Blanc,30,16,5,9,0,0,962,947
piłka ręczna,LNH,2025-26,2026-06-06,Saint-Raphaël Var Handball,30,18,1,11,0,0,971,948
piłka ręczna,LNH,2025-26,2026-06-06,Fenix Toulouse,30,15,1,14,0,0,910,907
piłka ręczna,LNH,2025-26,2026-06-06,Tremblay-en-France Handball,30,13,3,14,0,0,982,995
piłka ręczna,LNH,2025-26,2026-06-06,Pays d'Aix UC,30,13,3,14,0,0,908,890
piłka ręczna,LNH,2025-26,2026-06-06,Cesson-Rennes Métropole HB,30,12,1,17,0,0,937,953
piłka ręczna,LNH,2025-26,2026-06-06,USAM Nîmes Gard,30,9,3,18,0,0,891,936
piłka ręczna,LNH,2025-26,2026-06-06,Sélestat Alsace Handball,30,7,3,20,0,0,905,966
piłka ręczna,LNH,2025-26,2026-06-06,Dunkerque HGL,30,6,4,20,0,0,816,931
piłka ręczna,LNH,2025-26,2026-06-06,Chartres Métropole Handball,30,6,3,21,0,0,864,987
piłka ręczna,LNH,2025-26,2026-06-06,Istres Provence Handball,30,6,2,22,0,0,850,965
piłka ręczna,LNH,2025-26,2026-06-06,Dijon Métropole Handball,30,5,2,23,0,0,866,969
